37292 /  1-2 Switch /  $30.01 /  $30.31 /  $34.84 / 
50215 /  Legendary Fishing /  $12.03 /  $16.70 /  $17.70 / 
54412 /  Liar Princess and the Blind Prince /  $49.77 /  $56.86 /  $64.28 / 
58139 /  Liar Princess and the Blind Prince [Storybook Edition] /  $42.15 /  $55.67 /  $63.17 / 
50072 /  Little Dragons Cafe /  $21.50 /  $24.73 /  $31.06 / 
50074 /  Little Dragons Cafe Limited Edition /  $39.14 /  $45.01 /  $55.95 / 
58556 /  Little Friends Dogs and Cats /  $34.00 /  $34.99 /  $39.61 / 
46994 /  Lost Child /  $24.99 /  $29.49 /  $39.51 / 
47012 /  Lost Child [Limited Edition] /  $38.50 /  $38.50 /  $74.95 / 
44960 /  Lost Sphear /  $27.23 /  $27.44 /  $41.15 / 
65419 /  "Luigis Mansion 3" /  $45.42 /  $45.85 /  $48.47 / 
59692 /  Lumines Remastered /  $24.19 /  $27.82 /  $30.02 / 
59693 /  Lumines Remastered [Deluxe Edition] /  $49.99 /  $57.49 /  $59.82 / 
59694 /  Lumines Remastered [Ultimate Edition] /   /   /   / 
42373 /  Lumo /  $15.87 /  $18.45 /  $22.38 / 
46996 /  MUSYNX /  $24.05 /  $26.56 /  $40.05 / 
40525 /  MXGP 3 /  $11.30 /  $14.46 /  $16.08 / 
65507 /  Mario & Sonic at the Olympic Games Tokyo 2020 /  $44.99 /  $45.50 /  $50.00 / 
39075 /  Mario + Rabbids Kingdom Battle /  $18.19 /  $18.49 /  $22.99 / 
39081 /  "Mario + Rabbids Kingdom Battle [Collectors Edition]" /  $36.94 /  $52.35 /  $55.20 / 
37433 /  Mario Kart 8 Deluxe /  $37.45 /  $43.09 /  $46.70 / 
47004 /  Mario Tennis Aces /  $32.92 /  $33.10 /  $40.00 / 
61906 /  Marvel Ultimate Alliance 3: The Black Order /  $34.31 /  $38.10 /  $45.25 / 
65579 /  Mary Skelter 2 /   /   /   / 
46455 /  Max: The Curse of Brotherhood /  $12.96 /  $13.63 /  $23.99 / 
51989 /  Mega Man 11 /  $15.51 /  $16.20 /  $21.73 / 
52014 /  Mega Man 11 [amiibo Bundle] /  $59.87 /  $68.55 /  $80.57 / 
46443 /  Mega Man Legacy Collection 1 + 2 /  $16.57 /  $19.16 /  $27.24 / 
47091 /  Mega Man X Legacy Collection 1 + 2 /  $15.07 /  $19.73 /  $29.48 / 
50198 /  Mercenaries Saga Chronicles /  $27.22 /  $35.45 /  $58.19 / 
65515 /  Mercenaries Wings /   /   /   / 
66515 /  Mercenaries Wings: The False Phoenix /   /   /   / 
66509 /  Mercenaries Wings: The False Phoenix [Special Edition] /   /   /   / 
50100 /  Mercenary Kings /  $37.97 /  $38.07 /  $49.79 / 
47002 /  Minecraft /  $25.00 /  $25.26 /  $29.95 / 
38630 /  Minecraft: Story Mode Complete Adventure /  $23.82 /  $28.55 /  $41.72 / 
53699 /  Minecraft: Story Mode Season Two /  $21.99 /  $25.00 /  $29.24 / 
63828 /  Minit /  $29.73 /  $31.77 /  $51.65 / 
63242 /  Momodora /  $30.53 /  $33.25 /  $45.65 / 
65603 /  Momodora [Deluxe Edition] /  $48.33 /  $55.76 /  $72.49 / 
40386 /  Monopoly /  $15.00 /  $16.19 /  $19.96 / 
53834 /  Monster Boy and the Cursed Kingdom /  $26.66 /  $33.00 /  $39.89 / 
45050 /  Monster Energy Supercross /  $12.35 /  $15.02 /  $17.61 / 
54409 /  Monster Energy Supercross 2 /  $18.50 /  $20.73 /  $21.27 / 
50097 /  Monster Hunter Generations Ultimate /  $25.36 /  $26.31 /  $31.71 / 
40380 /  Monster Jam: Crush It /  $18.67 /  $21.19 /  $28.73 / 
50761 /  Moonlighter /  $19.99 /  $21.33 /  $27.49 / 
58279 /  Mortal Kombat 11 /  $25.64 /  $27.16 /  $30.00 / 
53769 /  Moto Racer 4 /  $11.31 /  $13.01 /  $18.26 / 
59652 /  MotoGP 19 /  $33.51 /  $38.54 /  $38.54 / 
53810 /  MudRunner American Wilds /  $15.14 /  $17.35 /  $20.27 / 
52704 /  Mutant Football League Dynasty Edition /  $15.83 /  $17.00 /  $22.40 / 
62448 /  Mutant Year Zero: Road to Eden /  $25.41 /  $28.60 /  $38.38 / 
65619 /  My Friend Pedro /  $20.06 /  $31.46 /  $41.75 / 
52682 /  "My Hero Ones Justice" /  $23.84 /  $24.93 /  $28.28 / 
55793 /  My Little Riding Champion /  $18.69 /  $21.49 /  $24.41 / 
53731 /  My Riding Stables: Life with Horses /  $13.79 /  $13.79 /  $16.38 / 
58399 /  My Time at Portia /  $21.90 /  $23.49 /  $29.48 / 
53723 /  NBA 2K Playgrounds 2 /  $12.99 /  $14.54 /  $16.44 / 
40282 /  NBA 2K18 /  $8.37 /  $9.00 /  $10.00 / 
40288 /  NBA 2K18 Legend Edition /  $8.77 /  $9.71 /  $12.37 / 
40283 /  NBA 2K18 Legend Edition Gold /  $22.00 /  $22.00 /  $68.49 / 
50188 /  NBA 2K19 /  $12.25 /  $13.25 /  $13.97 / 
50189 /  NBA 2K19 20th Anniversary Edition /  $16.42 /  $22.83 /  $30.33 / 
63605 /  NBA 2K20 /  $35.15 /  $38.99 /  $40.83 / 
63606 /  NBA 2K20 [Legend Edition] /  $51.75 /  $56.99 /  $72.39 / 
51986 /  Namco Museum Arcade Pac /  $19.00 /  $20.78 /  $24.93 / 
