4193 //  007 Racing //  $4.37 //  $6.57 //  $18.93 // 
12700 //  Crime Killer //  $3.71 //  $7.23 //  $16.72 // 
4343 //  Critical Depth //  $3.79 //  $7.88 //  $14.37 // 
12701 //  Criticom //  $6.24 //  $9.00 //  $32.00 // 
38423 //  Criticom [Long Box] //  $8.51 //  $12.63 //  $49.99 // 
4344 //  Croc //  $5.74 //  $10.49 //  $36.20 // 
4345 //  Croc 2 //  $8.64 //  $13.97 //  $54.68 // 
37623 //  Croc [Greatest Hits] //  $5.99 //  $9.99 //  $31.00 // 
12702 //  Crossroad Crisis //  $3.42 //  $5.39 //  $6.49 // 
4346 //  Crusader-No Remorse //  $11.99 //  $27.50 //  $33.41 // 
4347 //  Crusaders of Might and Magic //  $3.76 //  $6.99 //  $15.07 // 
4348 //  Crypt Killer //  $14.34 //  $20.25 //  $46.50 // 
12703 //  Cubix Robots for Everyone Race N Robots //  $3.19 //  $5.11 //  $7.34 // 
4349 //  Cyber Sled //  $7.99 //  $10.88 //  $57.01 // 
38424 //  Cyber Sled [Long Box] //  $6.99 //  $13.98 //  $89.99 // 
12704 //  CyberSpeed //  $4.60 //  $8.66 //  $30.85 // 
38425 //  CyberSpeed [Long Box] //  $5.82 //  $7.02 //  $77.00 // 
12705 //  CyberTiger //  $2.49 //  $3.32 //  $9.95 // 
12706 //  Cyberia //  $5.05 //  $10.55 //  $38.17 // 
38426 //  Cyberia [Long Box] //  $10.91 //  $16.38 //  $73.41 // 
14051 //  D //  $12.41 //  $48.29 //  $133.64 // 
38427 //  D [Long Box] //  $44.69 //  $68.41 //  $249.99 // 
4350 //  Dance Dance Revolution //  $4.92 //  $8.69 //  $14.21 // 
4351 //  Dance Dance Revolution Bundle //  $10.11 //  $31.18 //  $278.24 // 
4352 //  Dance Dance Revolution Disney Mix //  $8.88 //  $14.78 //  $40.69 // 
4353 //  Dance Dance Revolution Konamix //  $4.93 //  $6.25 //  $18.73 // 
49708 //  Dance Dance Revolution Konamix [Greatest Hits] //  $5.34 //  $5.96 //  $10.76 // 
4354 //  Danger Girl //  $10.07 //  $16.66 //  $37.22 // 
12708 //  Dare Devil Derby 3D //  $3.06 //  $5.82 //  $19.99 // 
12709 //  Darklight Conflict //  $2.97 //  $7.58 //  $18.73 // 
4355 //  Darkstalkers 3 //  $22.47 //  $40.00 //  $82.10 // 
4356 //  Darkstalkers The Night Warriors //  $23.06 //  $73.59 //  $185.00 // 
38429 //  Darkstalkers The Night Warriors [Long Box] //  $25.85 //  $51.05 //  $103.40 // 
4357 //  Darkstone //  $4.99 //  $7.25 //  $18.88 // 
14363 //  Dave Mirra Freestyle BMX //  $4.81 //  $6.74 //  $30.44 // 
14140 //  Dave Mirra Freestyle BMX Maximum Remix //  $4.43 //  $10.52 //  $12.99 // 
49709 //  Dave Mirra Freestyle BMX [Greatest Hits] //  $3.99 //  $7.99 //  $7.99 // 
18699 //  David Beckham Soccer //  $3.92 //  $5.42 //  $9.76 // 
18630 //  Dead Ball Zone //  $4.21 //  $10.30 //  $39.69 // 
4358 //  Dead in the Water //  $5.24 //  $12.00 //  $26.79 // 
4359 //  Dead or Alive //  $11.99 //  $25.22 //  $93.45 // 
12710 //  Deathtrap Dungeon //  $5.67 //  $6.93 //  $22.08 // 
12711 //  Deception III Dark Delusion //  $21.22 //  $30.00 //  $62.99 // 
12707 //  Defcon 5 //  $5.06 //  $8.37 //  $21.75 // 
38430 //  Defcon 5 [Long Box] //  $8.89 //  $11.36 //  $35.56 // 
4360 //  Delta Force Urban Warfare //  $3.87 //  $6.64 //  $14.01 // 
4361 //  Demolition Racer //  $5.50 //  $9.86 //  $38.29 // 
13836 //  Descent //  $7.75 //  $12.97 //  $41.51 // 
4362 //  Descent Maximum //  $7.02 //  $10.00 //  $49.61 // 
38431 //  Descent [Long Box] //  $9.54 //  $13.34 //  $39.95 // 
4363 //  Destrega //  $11.99 //  $18.95 //  $35.97 // 
4364 //  Destruction Derby //  $4.92 //  $7.12 //  $31.99 // 
4365 //  Destruction Derby 2 //  $5.76 //  $8.54 //  $33.63 // 
37625 //  Destruction Derby 2 [Greatest Hits] //  $6.21 //  $9.98 //  $20.70 // 
4366 //  Destruction Derby Raw //  $7.63 //  $13.95 //  $31.36 // 
37624 //  Destruction Derby [Greatest Hits] //  $5.28 //  $7.20 //  $18.88 // 
38432 //  Destruction Derby [Long Box] //  $11.89 //  $11.99 //  $100.00 // 
